user_id,payment_reuse_count,ip_reuse_count,ip_subnet_reuse_count,device_reuse_count,device_signups_last_hour,payment_signups_last_24h,device_signups_last_24h,subnet_signups_last_24h,name_similarity_score,is_disposable_email_domain,is_free_email_domain,email_local_has_digits,email_local_has_plus_tag,payment_ip_country_mismatch,payment_ip_country_mismatch.1,graph_component_size,attrs_reused_count,signup_hour,signup_hour.1,is_odd_hour,area_freq,device_os_freq,is_repeat_user
u_1656,0,0,0,0,0,0,0,0,0.889,0,1,0,0,0,0,1,1,13,13,0,0.0755776290218095,0.1993090045346577,0
u_1553,0,0,0,0,0,0,0,0,0.952,0,1,0,0,1,1,1,1,10,10,0,0.0736342042755344,0.1994169725761174,0
u_8793,0,0,0,0,0,0,0,0,0.778,0,1,0,0,0,0,1,0,12,12,0,0.0712589073634204,0.1994169725761174,1
u_2470,0,0,0,0,0,0,0,0,0.8,0,0,0,0,0,0,1,0,2,2,1,0.0709350032390412,0.2020082055711509,0
u_7032,0,1,2,0,0,0,0,2,0.857,0,1,0,0,0,0,4,2,6,6,0,0.0739581083999136,0.2020082055711509,1
u_1453,0,0,0,0,0,0,0,0,0.714,0,1,0,0,0,0,1,0,2,2,1,0.0736342042755344,0.1976894839127618,0
u_6563,1,0,1,1,0,1,1,1,0.625,1,0,1,0,0,0,3,3,20,20,0,0.071798747570719,0.1976894839127618,1
u_4457,0,0,0,0,0,0,0,0,0.667,0,1,1,0,1,1,1,0,9,9,0,0.0739581083999136,0.1993090045346577,0
u_4689,0,0,0,0,0,0,0,0,0.769,0,0,0,0,0,0,1,0,7,7,0,0.0643489527099978,0.1976894839127618,0
u_2716,0,0,0,0,0,0,0,0,0.909,0,1,0,0,0,0,1,1,7,7,0,0.0684517382854675,0.201576333405312,0
u_3033,0,0,0,0,0,0,0,0,1.0,0,1,0,0,0,0,1,1,6,6,0,0.0712589073634204,0.1993090045346577,0
u_3399,0,0,0,0,0,0,0,0,0.857,0,0,0,0,0,0,1,1,22,22,0,0.0739581083999136,0.1976894839127618,0
u_7175,0,0,0,0,0,0,0,0,0.7,1,0,1,1,0,0,1,0,0,0,1,0.0674800259123299,0.2020082055711509,1
u_7001,1,0,2,1,0,1,1,2,0.947,0,1,1,0,0,0,5,4,19,19,0,0.0739581083999136,0.1994169725761174,1
